Time (hours),Cu2+,Fe2+,Ni2+
0,0,0,0
0.5,2.910923358,107.6371287,5.81025
1,4.676968217,224.9893564,6.323541667
2,2.337906949,342.3415842,6.836833333
4,2.956764671,425.6138614,8.202083333
6,3.472479439,431.7821782,7.90575
7,3.558431901,529.0129421,8.016875
8,3.644384362,686.1796691,8.128
10,2.968224999,363.9306931,6.625166667
12,4.022575192,414.6233634,8.403166667
20,5.191528667,838.841997,11.04176076
24,7.161654086,697.019802,15.36870708
30,5.890608686,652.299505,13.91708333
34,5.42073523,607.5792079,13.6525
48,7.540895944,848.1435644,23.07166667
72,21.27602865,920.6212871,29.31583333
96,37.14379026,993.0990099,35.56
192,80.60703628,1273.757426,60.96
288,88.93214669,1751.80198,105.8333333
384,96.61056658,1921.430693,134.4083333
432,93.26254909,1630.272591,134.0693649
456,84.5091741,1303.369081,124.5424893
504,84.3,623,127
