Time (hours),Cu2+,Fe2+,Fe3+,Ni2+,Fe,% Fe3+,Times
1,4.676968217,1.77318528,223.2161711,6.323541667,224.9893564,0.992118804,1.0
2,2.337906949,2.475080956,339.8665032,6.836833333,342.3415842,0.992770142,2.0
4,2.956764671,2.567809991,423.0460514,8.202083333,425.6138614,0.993966808,4.0
6,3.472479439,2.317353197,429.464825,7.90575,431.7821782,0.99463305,7.0
7,3.558431901,2.485923058,526.527019,8.016875,529.0129421,0.995300828,
8,3.644384362,3.224476616,682.9551925,8.128,686.1796691,0.995300828,
10,2.968224999,1.710173097,362.22052,6.625166667,363.9306931,0.995300828,
12,4.022575192,1.948386698,412.6749767,8.403166667,414.6233634,0.995300828,
20,5.191528667,3.941863225,834.9001338,11.04176076,838.841997,0.995300828,
24,7.161654086,2.809962379,694.2098396,15.36870708,697.019802,0.995968605,24.0
30,5.890608686,2.315961308,649.9835437,13.91708333,652.299505,0.996449543,
34,5.42073523,2.157183818,605.4220241,13.6525,607.5792079,0.996449543,
48,7.540895944,2.603392407,845.540172,23.07166667,848.1435644,0.996930481,48.0
72,21.27602865,2.255941946,918.3653452,29.31583333,920.6212871,0.997549544,72.0
96,37.14379026,2.380207434,990.7188025,35.56,993.0990099,0.997603253,96.0
192,80.60703628,3.5151397,1270.242286,60.96,1273.757426,0.997240338,192.0
288,88.93214669,5.473209907,1746.32877,105.8333333,1751.80198,0.996875669,288.0
384,96.61056658,6.67020691,1914.760486,134.4083333,1921.430693,0.996528521,384.0
432,93.26254909,7.060313417,1623.212278,134.0693649,1630.272591,0.995669244,432.0
456,84.5091741,6.927119923,1296.441961,124.5424893,1303.369081,0.99468522,456.0
504,84.3,3.774296169,619.2257038,127,623,0.99394174,504.0
