Time (hours),Cu2+,Fe2+,Fe3+,Ni2+
0,0.004676968,0.001773185,0.223216171,0.006323542
0.041666667,0.002337907,0.002475081,0.339866503,0.006836833
0.125,0.002956765,0.00256781,0.423046051,0.008202083
0.208333333,0.003472479,0.002317353,0.429464825,0.00790575
0.25,0.003558432,0.002485923,0.526527019,0.008016875
0.291666667,0.003644384,0.003224477,0.682955192,0.008128
0.375,0.002968225,0.001710173,0.36222052,0.006625167
0.458333333,0.004022575,0.001948387,0.412674977,0.008403167
0.791666667,0.005191529,0.003941863,0.834900134,0.011041761
0.958333333,0.007161654,0.002809962,0.69420984,0.015368707
1.208333333,0.005890609,0.002315961,0.649983544,0.013917083
1.375,0.005420735,0.002157184,0.605422024,0.0136525
1.958333333,0.007540896,0.002603392,0.845540172,0.023071667
2.958333333,0.021276029,0.002255942,0.918365345,0.029315833
3.958333333,0.03714379,0.002380207,0.990718802,0.03556
7.958333333,0.080607036,0.00351514,1.270242286,0.06096
11.95833333,0.088932147,0.00547321,1.74632877,0.105833333
15.95833333,0.096610567,0.006670207,1.914760486,0.134408333
17.95833333,0.093262549,0.007060313,1.623212278,0.134069365
18.95833333,0.084509174,0.00692712,1.296441961,0.124542489
20.95833333,0.0843,0.003774296,0.619225704,0.127
