Time (hours),Cu2+,Fe2+,Fe3+,Ni2+
0,0.004676968,0.001773185,0.223216171,0.006323542
1,0.002337907,0.002475081,0.339866503,0.006836833
3,0.002956765,0.00256781,0.423046051,0.008202083
5,0.003472479,0.002317353,0.429464825,0.00790575
6,0.003558432,0.002485923,0.526527019,0.008016875
7,0.003644384,0.003224477,0.682955192,0.008128
9,0.002968225,0.001710173,0.36222052,0.006625167
11,0.004022575,0.001948387,0.412674977,0.008403167
19,0.005191529,0.003941863,0.834900134,0.011041761
23,0.007161654,0.002809962,0.69420984,0.015368707
29,0.005890609,0.002315961,0.649983544,0.013917083
33,0.005420735,0.002157184,0.605422024,0.0136525
47,0.007540896,0.002603392,0.845540172,0.023071667
71,0.021276029,0.002255942,0.918365345,0.029315833
95,0.03714379,0.002380207,0.990718802,0.03556
191,0.080607036,0.00351514,1.270242286,0.06096
287,0.088932147,0.00547321,1.74632877,0.105833333
383,0.096610567,0.006670207,1.914760486,0.134408333
431,0.093262549,0.007060313,1.623212278,0.134069365
