Time (hours),Cu,Fe,Ni
0,0,0,0
0.0005,0.003944531,0.136033953,0.005195909
0.001,0.003153245,0.193710954,0.005357999
0.002,0.004866706,0.211162391,0.00544805
0.004,0.005985216,0.25304584,0.006384574
0.006,0.00643143,0.268752134,0.006762786
0.007,0.006877644,0.284458427,0.007140997
0.008,0.004524264,0.255340771,0.008674304
0.01,0.007518186,0.408342999,0.009648447
0.012,0.008231181,0.458795052,0.009687612
0.02,0.013654767,0.349656402,0.015750303
0.024,0.010924273,0.378696189,0.013709549
0.03,0.013802884,0.441521363,0.017289679
0.034,0.020942306,0.469443662,0.021296922
0.048,0.019010425,0.497365962,0.025304165
0.072,0.02855878,0.62301631,0.03737092
0.096,0.034797945,0.63697746,0.044484902
0.192,0.080884063,0.553210561,0.075282142
0.288,0.105068502,0.487942186,0.089059855
0.384,0.104830521,0.219888109,0.095687214
0.432,0.098643022,0.176259516,0.100856458
0.456,0.090616352,0.14362405,0.09073932
0.504,0.0881,0.125999377,0.106259483
